professor_name,institution,n_papers,top_factories,top_keywords,top_papers,prof_text
Ryan L. Truby,NU,20,"['Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices', 'Materials & Solid Mechanics']","['emb3d printing', 'stem cell', 'bioprinting vascularized', 'robots abstract_missing_fallback_to_title', 'stretchable elastomers', 'dimensions abstract_missing_fallback_to_title', 'biomanufacturing organ', 'crystal elastomers', 'somatosensitive actuators', 'multimaterial 4d']","['3D Bioprinting of Vascularized, Heterogeneous Cell‐Laden Tissue Constructs', 'An integrated design and fabrication strategy for entirely soft, autonomous robots', 'Embedded 3D Printing of Strain Sensors within Highly Stretchable Elastomers']","Research areas: Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena, Systems, Education & Interdisciplinary. Key topics: emb3d printing, stem cell, bioprinting vascularized, robots abstract_missing_fallback_to_title, stretchable elastomers, dimensions abstract_missing_fallback_to_title. Representative papers: 3D Bioprinting of Vascularized, Heterogeneous Cell‐Laden Tissue Constructs."
Sam Kriegman,NU,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary']","['lifelong learning', 'soft robots', 'amphibian embryonic', 'organisms replicate', 'machines abstract_missing_fallback_to_title', 'generate motile', 'kinematic self', 'biological underpinnings', 'living machines', 'clusters look']","['A scalable pipeline for designing reconfigurable organisms', 'Biological underpinnings for lifelong learning machines', 'A soft robot that adapts to environments through shape change']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary. Key topics: lifelong learning, soft robots, amphibian embryonic, organisms replicate, machines abstract_missing_fallback_to_title, generate motile. Representative papers: A scalable pipeline for designing reconfigurable organisms."
Sandip Ghosal,NU,20,"['Robotics & Intelligent Systems', 'Biomedical & Biomechanical Engineering', 'Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Advanced Manufacturing & Devices']","['eddy simulation', 'capillary electrophoresis', 'characteristic mode', 'simulations turbulence', 'microfluidic channel', 'backscatter dynamic', 'polyelectrolyte nanopore', 'microstrip patch', 'mode coupling', 'modes array']","['A dynamic localization model for large-eddy simulation of turbulent flows', 'An Analysis of Numerical Errors in Large-Eddy Simulations of Turbulence', 'The basic equations for the large eddy simulation of turbulent flows in complex geometry']","Research areas: Robotics & Intelligent Systems, Biomedical & Biomechanical Engineering, Thermal-Fluid & Transport Phenomena. Key topics: eddy simulation, capillary electrophoresis, characteristic mode, simulations turbulence, microfluidic channel, backscatter dynamic. Representative papers: A dynamic localization model for large-eddy simulation of turbulent flows."
Seth Lichter,NU,20,"['Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics']","['molecular dynamics', 'abstract_missing_fallback_to_title', 'capillary flow', 'fluid slip', 'pool drop', 'cell shear', 'slipping atoms', 'frictionless nanochannels', 'slip nanoscale', 'liquids slip']","['Capillary flow in an interior corner', 'Slip at high shear rates.', 'The critical Weber number for vortex and jet formation for drops impinging on a liquid pool']","Research areas: Robotics & Intelligent Systems, Advanced Manufacturing & Devices, Systems, Education & Interdisciplinary. Key topics: molecular dynamics, abstract_missing_fallback_to_title, capillary flow, fluid slip, pool drop, cell shear. Representative papers: Capillary flow in an interior corner."
Sinan Keten,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary']","['crystals silk', 'membranes nanofiltration', 'molecular dynamics', 'properties silks', 'nanocomposites abstract_missing_fallback_to_title', 'materials abstract_missing_fallback_to_title', 'silk molecular', 'protein materials', 'biomimetic mechanical', 'helical sheet']","['Nanoconfinement Controls Stiffness, Strength and Mechanical Toughness of Β-sheet Crystals in Silk', 'Molecular and nanostructural mechanisms of deformation, strength and toughness of spider silk fibrils.', 'Hierarchically structured bioinspired nanocomposites']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Materials & Solid Mechanics. Key topics: crystals silk, membranes nanofiltration, molecular dynamics, properties silks, nanocomposites abstract_missing_fallback_to_title, materials abstract_missing_fallback_to_title. Representative papers: Nanoconfinement Controls Stiffness, Strength and Mechanical Toughness of Β-sheet Crystals in Silk."
Sridhar Krishnaswamy,NU,20,"['Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering']","['photon polymerization', 'laser lithography', 'metalens proposed', 'deformation measurements', 'grating ultrasonic', 'mapping crack', 'fiber humidity', 'ultrasonic line', 'laser ultrasonic', 'laser generation']","['A coherent gradient sensor for crack tip deformation measurements: analysis and experimental results', 'Response of a fiber Bragg grating ultrasonic sensor', 'Optical mapping of crack tip deformations using the methods of transmission and reflection coherent gradient sensing: a study of crack tip K-dominance']","Research areas: Robotics & Intelligent Systems, Materials & Solid Mechanics, Thermal-Fluid & Transport Phenomena. Key topics: photon polymerization, laser lithography, metalens proposed, deformation measurements, grating ultrasonic, mapping crack. Representative papers: A coherent gradient sensor for crack tip deformation measurements: analysis and experimental results."
Steven Gard,NU,20,"['Biomedical & Biomechanical Engineering', 'Systems, Education & Interdisciplinary', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems']","['rehabilitation global', 'transfemoral amputation', 'health priority', 'walking abstract_missing_fallback_to_title', 'gait biomechanics', 'priority abstract_missing_fallback_to_title', 'ankle prostheses', 'kinematic kinetic', 'poststroke hemiplegia', 'trunk flexion']","['The human ankle during walking: implications for design of biomimetic ankle prostheses.', 'Comparison of kinematic and kinetic methods for computing the vertical motion of the body center of mass during walking.', 'Effect of ankle-foot orthosis alignment and foot-plate length on the gait of adults with poststroke hemiplegia.']","Research areas: Biomedical & Biomechanical Engineering, Systems, Education & Interdisciplinary, Materials & Solid Mechanics. Key topics: rehabilitation global, transfemoral amputation, health priority, walking abstract_missing_fallback_to_title, gait biomechanics, priority abstract_missing_fallback_to_title. Representative papers: The human ankle during walking: implications for design of biomimetic ankle prostheses.."
"Tao Sun, T. Sun",NU,20,"['Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices']","['cysteine cathepsins', 'dihydroxyvitamin promotes', 'tumors sex', 'glioblastoma prevalence', 'kidney disease', 'remyelination activated', 'hypertensive rats', 'diabetic nephropathy', 'tumors females', 'dihydroxyvitamin d₃']","['Cysteine cathepsins: From structure, function and regulation to new frontiers', '1,25-Dihydroxyvitamin D Promotes Negative Feedback Regulation of TLR Signaling via Targeting MicroRNA-155–SOCS1 in Macrophages', 'An integrative view on sex differences in brain tumors']","Research areas: Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems, Advanced Manufacturing & Devices. Key topics: cysteine cathepsins, dihydroxyvitamin promotes, tumors sex, glioblastoma prevalence, kidney disease, remyelination activated. Representative papers: Cysteine cathepsins: From structure, function and regulation to new frontiers."
Todd D Murphey,NU,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary']","['ergodic exploration', 'computing abstract_missing_fallback_to_title', 'learning controller', 'koopman operator', 'robotic fish', 'vertebrates abstract_missing_fallback_to_title', 'learning robotics', 'optimal control', 'locomotion collective', 'learning agents']","['Mechanical computing', 'Active Learning of Dynamics for Data-Driven Control Using Koopman Operators', 'Ergodic Exploration of Distributed Information']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary. Key topics: ergodic exploration, computing abstract_missing_fallback_to_title, learning controller, koopman operator, robotic fish, vertebrates abstract_missing_fallback_to_title. Representative papers: Mechanical computing."
Wei Chen,NU,20,"['Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary']","['childhood cardiovascular', 'epigenetic aging', 'uric acid', 'smoking bmi', 'metabolomics study', 'childhood adiposity', 'loci age', 'bmi thresholds', 'gender telomere', 'insulin resistance']","['Childhood adiposity, adult adiposity, and cardiovascular risk factors.', 'Childhood cardiovascular risk factors and carotid vascular changes in adulthood: the Bogalusa Heart Study.', 'An epigenetic clock analysis of race/ethnicity, sex, and coronary heart disease']","Research areas: Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems, Materials & Solid Mechanics. Key topics: childhood cardiovascular, epigenetic aging, uric acid, smoking bmi, metabolomics study, childhood adiposity. Representative papers: Childhood adiposity, adult adiposity, and cardiovascular risk factors.."
Wing Kam Liu,NU,20,"['Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['kernel interpolation', 'abstract_missing_fallback_to_title', 'continuum mechanics', 'carbon nanotubes', 'deformation analysis', 'meshfree particle', 'continuum simulations', 'kernel methods', 'method abstract_missing_fallback_to_title', 'materials uncertainty']","['Nonlinear Finite Elements for Continua and Structures', 'Reproducing kernel particle methods', 'Mechanics of carbon nanotubes']","Research areas: Materials & Solid Mechanics, Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena. Key topics: kernel interpolation, abstract_missing_fallback_to_title, continuum mechanics, carbon nanotubes, deformation analysis, meshfree particle. Representative papers: Nonlinear Finite Elements for Continua and Structures."
Yip-Wah Chung,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Systems, Education & Interdisciplinary']","['rutile crystal', 'glass substrates', 'electrophoretic deposition', 'coatings abstract_missing_fallback_to_title', 'chemisorption o2', 'melting pb', 'strengthened ferritic', 'crumpled graphene', 'amorphous carbon', 'nanostructured steels']","['Low energy electron diffraction and electron spectroscopy studies of the clean (110) and (100) titanium dioxide (rutile) crystal surfaces', 'Grazing-incidence small-angle X-ray scattering: new tool for studying thin film growth', 'Directed Growth of Electroactive Metal‐Organic Framework Thin Films Using Electrophoretic Deposition']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Materials & Solid Mechanics. Key topics: rutile crystal, glass substrates, electrophoretic deposition, coatings abstract_missing_fallback_to_title, chemisorption o2, melting pb. Representative papers: Low energy electron diffraction and electron spectroscopy studies of the clean (110) and (100) titanium dioxide (rutile) crystal surfaces."
Yonggang Huang,NU,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics', 'Advanced Manufacturing & Devices']","['abstract_missing_fallback_to_title', 'ultrathin conformal', 'stretchable electronics', 'epidermal electronics', 'silk fibroin', 'foldable silicon', 'eye camera', 'stretchable batteries', 'silicon electronics', 'thermal characterization']","['Materials and Mechanics for Stretchable Electronics', 'Epidermal Electronics', 'Dissolvable films of silk fibroin for ultrathin conformal bio-integrated electronics.']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Biomedical & Biomechanical Engineering. Key topics: abstract_missing_fallback_to_title, ultrathin conformal, stretchable electronics, epidermal electronics, silk fibroin, foldable silicon. Representative papers: Materials and Mechanics for Stretchable Electronics."
A. Jacobi,UIUC,20,"['Biomedical & Biomechanical Engineering', 'Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices']","['abstract_missing_fallback_to_title', 'sleeve gastrectomy', 'quality life', 'pneumoperitoneum laparoscopic', 'laparoscopic resection', 'colorectal resections', 'carcinoma esophagus', 'hernia repair', 'oesophageal carcinoma', 'laparoscopic colonic']","['The European Association for Endoscopic Surgery clinical practice guideline on the pneumoperitoneum for laparoscopic surgery', 'Laparoscopic resection of colon Cancer: Consensus of the European Association of Endoscopic Surgery (EAES)', 'Inflammatory response after laparoscopic and conventional colorectal resections – results of a prospective randomized trial']","Research areas: Biomedical & Biomechanical Engineering, Systems, Education & Interdisciplinary, Robotics & Intelligent Systems. Key topics: abstract_missing_fallback_to_title, sleeve gastrectomy, quality life, pneumoperitoneum laparoscopic, laparoscopic resection, colorectal resections. Representative papers: The European Association for Endoscopic Surgery clinical practice guideline on the pneumoperitoneum for laparoscopic surgery."
A. Vakakis,UIUC,20,"['Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena']","['abstract_missing_fallback_to_title', 'energy pumping', 'coupled oscillators', 'nonlinear identification', 'orthogonal decomposition', 'targeted energy', 'structural dynamicist', 'linear oscillator', 'linear attachments', 'impact oscillators']","['Past, present and future of nonlinear system identification in structural dynamics', 'The Method of Proper Orthogonal Decomposition for Dynamical Characterization and Order Reduction of Mechanical Systems: An Overview', 'Nonlinear Targeted Energy Transfer in Mechanical and Structural Systems']","Research areas: Materials & Solid Mechanics, Robotics & Intelligent Systems, Advanced Manufacturing & Devices. Key topics: abstract_missing_fallback_to_title, energy pumping, coupled oscillators, nonlinear identification, orthogonal decomposition, targeted energy. Representative papers: Past, present and future of nonlinear system identification in structural dynamics."
Amy Wagoner Johnson,UIUC,20,"['Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena']","['phosphate scaffolds', 'cap polymer', 'hydroxyapatite scaffolds', 'properties cornea', 'micropores calcium', 'calcium phosphate', 'chitosan migration', 'hydroxyapatite binding', '3d bioprinting', 'tendon diffusion']","['A review of the mechanical behavior of CaP and CaP/polymer composites for applications in bone replacement and repair.', 'Multiscale osteointegration as a new paradigm for the design of calcium phosphate scaffolds for bone regeneration.', 'The influence of micropore size on the mechanical properties of bulk hydroxyapatite and hydroxyapatite scaffolds.']","Research areas: Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems, Materials & Solid Mechanics. Key topics: phosphate scaffolds, cap polymer, hydroxyapatite scaffolds, properties cornea, micropores calcium, calcium phosphate. Representative papers: A review of the mechanical behavior of CaP and CaP/polymer composites for applications in bone replacement and repair.."
Arne J. Pearlstein,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Biomedical & Biomechanical Engineering']","['pathogens food', 'paper chromogenic', 'array detection', 'electrodes oscillations', 'rates photopolymerizations', 'bifurcation convection', 'vortex kinematics', 'bifurcation steady', 'viscosity temperature', 'axisymmetric vortex']","['Film Formation and Current Oscillations in the Electrodissolution of Cu in Acidic Chloride Media I . Experimental Studies', 'Effects of Optical Attenuation and Consumption of a Photobleaching Initiator on Local Initiation Rates in Photopolymerizations', 'The onset of convective instability in a triply diffusive fluid layer']","Research areas: Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics, Robotics & Intelligent Systems. Key topics: pathogens food, paper chromogenic, array detection, electrodes oscillations, rates photopolymerizations, bifurcation convection. Representative papers: Film Formation and Current Oscillations in the Electrodissolution of Cu in Acidic Chloride Media I . Experimental Studies."
Blake Everett Johnson,UIUC,10,"['Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices']","['engineering leadership', 'introductory fluid', 'student leaders', 'project teams', 'design curriculum', 'excellence ielite', 'recipe based', 'capstone design', 'optimizes student', 'mechanical engineering']","['Integrated engineering leadership initiative for teaching excellence (IELITE) Year Two: Assessment of intermediate-term outcome for graduate teaching assistant training', 'An Analysis of Recipe-based Instruction in an Introductory Fluid Mechanics Laboratory', 'Identifying effective student leaders to improve capstone design team assignments']","Research areas: Systems, Education & Interdisciplinary, Robotics & Intelligent Systems, Advanced Manufacturing & Devices. Key topics: engineering leadership, introductory fluid, student leaders, project teams, design curriculum, excellence ielite. Representative papers: Integrated engineering leadership initiative for teaching excellence (IELITE) Year Two: Assessment of intermediate-term outcome for graduate teaching assistant training."
Brian S. Mercer,UIUC,20,"['Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Advanced Manufacturing & Devices', 'Thermal-Fluid & Transport Phenomena']","['molecular dynamics', 'aramid fibers', 'ppta crystallite', 'additive manufacturing', 'ppta crystallites', 'elastic layered', 'chitin colitis', 'biofilms mineralogical', 'corrosion resistance', 'pathogenic bacteria']","['Molecular dynamics modeling of PPTA crystallite mechanical properties in the presence of defects', 'Novel formulations of microscopic boundary-value problems in continuous multiscale finite element methods', 'Towards prediction of microstructure during laser based additive manufacturing process of Co-Cr-Mo powder beds']","Research areas: Materials & Solid Mechanics, Biomedical & Biomechanical Engineering, Advanced Manufacturing & Devices. Key topics: molecular dynamics, aramid fibers, ppta crystallite, additive manufacturing, ppta crystallites, elastic layered. Representative papers: Molecular dynamics modeling of PPTA crystallite mechanical properties in the presence of defects."
Bumsoo Han,UIUC,20,"['Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena']","['tumor model', 'tumor microenvironment', 'abstract_missing_fallback_to_title', 'delivery tumors', 'magnetic nanoparticles', 'crystallization freezing', 'transport nanoparticles', 'beam wastewater', 'nanoscale thermal', 'complex wastewater']","['Analysis on the current status of targeted drug delivery to tumors.', 'In vitro characterization of movement, heating and visualization of magnetic nanoparticles for biomedical applications', 'Direct cell injury associated with eutectic crystallization during freezing.']","Research areas: Materials & Solid Mechanics, Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems. Key topics: tumor model, tumor microenvironment, abstract_missing_fallback_to_title, delivery tumors, magnetic nanoparticles, crystallization freezing. Representative papers: Analysis on the current status of targeted drug delivery to tumors.."
C. Ricardo Constante-Amores,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary']","['marangoni stresses', 'surfactants dynamics', 'retracting surfactant', 'droplets surfactant', 'sheet dynamics', 'vortex surface', 'turbulent liquid', 'dynamics ligaments', 'crown dynamics', 'insoluble surfactants']","['Dynamics of a surfactant-laden bubble bursting through an interface', 'Role of surfactant-induced Marangoni stresses in drop-interface coalescence', 'Direct numerical simulations of transient turbulent jets: vortex-interface interactions']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Systems, Education & Interdisciplinary. Key topics: marangoni stresses, surfactants dynamics, retracting surfactant, droplets surfactant, sheet dynamics, vortex surface. Representative papers: Dynamics of a surfactant-laden bubble bursting through an interface."
Callan Luetkemeyer,UIUC,20,"['Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Thermal-Fluid & Transport Phenomena']","['biomechanics cartilage', 'ligament bundles', 'ligament deformation', 'hyaline cartilage', 'viscoelastic characterization', 'reveals proteoglycans', 'relaxation mapping', 'mimetic biomaterials', 'carotid arteries', 'mr material']","['Tissue-specific parameters for the design of ECM-mimetic biomaterials.', 'Constitutive modeling of the anterior cruciate ligament bundles and patellar tendon with full-field methods', 'Full-volume displacement mapping of anterior cruciate ligament bundles with dualMRI']","Research areas: Materials & Solid Mechanics, Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems. Key topics: biomechanics cartilage, ligament bundles, ligament deformation, hyaline cartilage, viscoelastic characterization, reveals proteoglycans. Representative papers: Tissue-specific parameters for the design of ECM-mimetic biomaterials.."
Craig Bradshaw,UIUC,20,"['Advanced Manufacturing & Devices', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering']","['heat exchangers', 'refrigerants abstract_missing_fallback_to_title', 'abstract_missing_fallback_to_title', 'spool compressor', 'vapor compression', 'injection abstract_missing_fallback_to_title', 'cooling abstract_missing_fallback_to_title', 'novel rotating', 'comparison performance', 'compressor electronics']","['A Miniature-Scale Linear Compressor for Electronics Cooling.', 'Modeling of a semi-hermetic CO2 reciprocating compressor including lubrication submodels for piston rings and bearings.', 'Linear compressors for electronics cooling: energy recovery and its benefits.']","Research areas: Advanced Manufacturing & Devices, Materials & Solid Mechanics, Systems, Education & Interdisciplinary. Key topics: heat exchangers, refrigerants abstract_missing_fallback_to_title, abstract_missing_fallback_to_title, spool compressor, vapor compression, injection abstract_missing_fallback_to_title. Representative papers: A Miniature-Scale Linear Compressor for Electronics Cooling.."
Elif Ertekin,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices']","['elastocaloric cooling', 'insulator transition', 'nanowire heterostructures', 'kagome metals', 'graphene abstract_missing_fallback_to_title', 'cathode electrolyte', 'phonon conduction', 'catalyst photocatalytic', 'conductivity diamond', 'interlayer heterostrain']","['Strain engineering and one-dimensional organization of metal-insulator domains in single-crystal vanadium dioxide beams.', 'Equilibrium limits of coherency in strained nanowire heterostructures', 'New kagome prototype materials: discovery of \nKV3Sb5,RbV3Sb5\n, and \nCsV3Sb5']","Research areas: Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics, Biomedical & Biomechanical Engineering. Key topics: elastocaloric cooling, insulator transition, nanowire heterostructures, kagome metals, graphene abstract_missing_fallback_to_title, cathode electrolyte. Representative papers: Strain engineering and one-dimensional organization of metal-insulator domains in single-crystal vanadium dioxide beams.."
Elizabeth T. Hsiao-Wecksler,UIUC,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering', 'Advanced Manufacturing & Devices']","['center pressure', 'powered orthotic', 'uncertainties inverse', 'powered ankle', 'width pregnancy', 'recover balance', 'asymmetries gait', 'foot motion', 'gait cycle', 'firefighter gait']","['Generalizability of center of pressure measures of quiet standing.', 'A portable powered ankle-foot orthosis for rehabilitation.', 'Uncertainties in inverse dynamics solutions: a comprehensive analysis and an application to gait.']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Thermal-Fluid & Transport Phenomena. Key topics: center pressure, powered orthotic, uncertainties inverse, powered ankle, width pregnancy, recover balance. Representative papers: Generalizability of center of pressure measures of quiet standing.."
Gaurav Bahl,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Materials & Solid Mechanics']","['topological insulators', 'reversal symmetry', 'brillouin scattering', 'photonics abstract_missing_fallback_to_title', 'pumping nanophotonic', 'brillouin cooling', 'optical microresonators', 'microfluidic resonators', 'optomechanics microfluidic', 'optical resonators']","['A quantized microwave quadrupole insulator with topologically protected corner states', 'Non-reciprocal Brillouin scattering induced transparency', 'Brillouin integrated photonics']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Systems, Education & Interdisciplinary. Key topics: topological insulators, reversal symmetry, brillouin scattering, photonics abstract_missing_fallback_to_title, pumping nanophotonic, brillouin cooling. Representative papers: A quantized microwave quadrupole insulator with topologically protected corner states."
Harley Johnson,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['abstract_missing_fallback_to_title', 'island elastic', 'functional optical', 'concentrator photovoltaics', 'ion machining', 'carbon nanotubes', 'graphene wrinkling', 'fcc alloys', 'waveguide termination', 'strain graphene']","['Mechanics of coherent and dislocated island morphologies in strained epitaxial material systems', 'Multidimensional Architectures for Functional Optical Devices', 'Flexible concentrator photovoltaics based on microscale silicon solar cells embedded in luminescent waveguides.']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Materials & Solid Mechanics. Key topics: abstract_missing_fallback_to_title, island elastic, functional optical, concentrator photovoltaics, ion machining, carbon nanotubes. Representative papers: Mechanics of coherent and dislocated island morphologies in strained epitaxial material systems."
Huseyin Sehitoglu,UIUC,20,"['Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices', 'Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena']","['abstract_missing_fallback_to_title', 'polycrystalline niti', 'memory alloys', 'ratchetting plasticity', 'twin nucleation', 'nucleation grain', 'hadfield steel', 'niti alloys', 'crack closure', 'plastic strain']","['Modeling of cyclic ratchetting plasticity, part i: Development of constitutive relations', 'Predicting twinning stress in fcc metals: Linking twin-energy pathways to twin nucleation', 'Tension–compression asymmetry of the stress–strain response in aged single crystal and polycrystalline NiTi']","Research areas: Materials & Solid Mechanics, Systems, Education & Interdisciplinary, Advanced Manufacturing & Devices. Key topics: abstract_missing_fallback_to_title, polycrystalline niti, memory alloys, ratchetting plasticity, twin nucleation, nucleation grain. Representative papers: Modeling of cyclic ratchetting plasticity, part i: Development of constitutive relations."
Iwona Jasiuk,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary']","['triply periodic', 'networks abstract_missing_fallback_to_title', 'polymer nanocomposites', 'polymeric gyroid', 'printed polymeric', 'trabecular bone', 'novel foams', 'bone abstract_missing_fallback_to_title', 'properties composites', 'resistant structures']","['Experimental trends in polymer nanocomposites—a review', 'Mechanical properties of 3D printed polymeric Gyroid cellular structures: Experimental and finite element study', 'Mechanical properties of 3D printed polymeric cellular materials with triply periodic minimal surface architectures']","Research areas: Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics, Biomedical & Biomechanical Engineering. Key topics: triply periodic, networks abstract_missing_fallback_to_title, polymer nanocomposites, polymeric gyroid, printed polymeric, trabecular bone. Representative papers: Experimental trends in polymer nanocomposites—a review."
Janelle Wharry,UIUC,20,"['Biomedical & Biomechanical Engineering', 'Advanced Manufacturing & Devices', 'Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary']","['martensitic alloys', 'alloys abstract_missing_fallback_to_title', 'segregation ferritic', 'radiation induced', 'bcc fe', 'nanoparticles fe', 'nanoindentation irradiated', 'transport nuclear', 'microstructure nanocluster', 'martensitic alloy']","['Assessment of radiation-induced segregation mechanisms in austenitic and ferritic–martensitic alloys', 'Application of STEM characterization for investigating radiation effects in BCC Fe-based alloys', 'A review of the irradiation evolution of dispersed oxide nanoparticles in the b.c.c. Fe-Cr system: Current understanding and future directions']","Research areas: Biomedical & Biomechanical Engineering, Advanced Manufacturing & Devices, Thermal-Fluid & Transport Phenomena. Key topics: martensitic alloys, alloys abstract_missing_fallback_to_title, segregation ferritic, radiation induced, bcc fe, nanoparticles fe. Representative papers: Assessment of radiation-induced segregation mechanisms in austenitic and ferritic–martensitic alloys."
Jiajun He,UIUC,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['international students', 'online ideological', 'teaching china', 'china housing', 'celebrity marketing', 'employee happiness', 'universities abstract_missing_fallback_to_title', 'motivation analysis', 'intergenerational exchange', 'tourism intentions']","[""Science Research Group Leader's Power and Members' Compliance and Satisfaction with Supervision"", 'Supervisors’ leadership and health science researchers’ intrinsic motivation: The mediate role of psychological empowerment', 'The Practice and Thinking of Class in Online Ideological and Political Education in Universities']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Advanced Manufacturing & Devices. Key topics: international students, online ideological, teaching china, china housing, celebrity marketing, employee happiness. Representative papers: Science Research Group Leader's Power and Members' Compliance and Satisfaction with Supervision."
